Life in Qatar	0.627853881279	0.0958904109589	0.111872146119	0.157534246575	0.00684931506849	0.0
Computers and Internet	0.745019920319	0.0318725099602	0.111553784861	0.111553784861	0.0	0.0
Visas and Permits	0.603896103896	0.114718614719	0.0670995670996	0.2113997114	0.001443001443	0.001443001443
Opportunities	0.382899628253	0.226765799257	0.0669144981413	0.323420074349	0.0	0.0
Environment	0.308411214953	0.345794392523	0.0747663551402	0.261682242991	0.00934579439252	0.0
Sports in Qatar	0.511904761905	0.126984126984	0.115079365079	0.246031746032	0.0	0.0
Family Life in Qatar	0.497232472325	0.185424354244	0.09963099631	0.214022140221	0.00369003690037	0.0
Beauty and Style	0.707482993197	0.0884353741497	0.0544217687075	0.149659863946	0.0	0.0
Electronics	0.653846153846	0.0480769230769	0.100961538462	0.197115384615	0.0	0.0
Pets and Animals	0.551282051282	0.0512820512821	0.153846153846	0.24358974359	0.0	0.0
Cars	0.658711217184	0.0787589498807	0.119331742243	0.143198090692	0.0	0.0
Salary and Allowances	0.497512437811	0.0820895522388	0.136815920398	0.283582089552	0.0	0.0
Investment and Finance	0.75	0.1	0.0166666666667	0.133333333333	0.0	0.0
Socialising	0.341395348837	0.262325581395	0.0986046511628	0.29488372093	0.00279069767442	0.0
Health and Fitness	0.70281124498	0.0441767068273	0.116465863454	0.136546184739	0.0	0.0
Qatar 2022	0.875	0.125	0.0	0.0	0.0	0.0
Funnies	0.370629370629	0.314685314685	0.041958041958	0.265734265734	0.00699300699301	0.0
Sightseeing and Tourist attractions	0.587866108787	0.10460251046	0.081589958159	0.223849372385	0.00209205020921	0.0
Language	0.69696969697	0.030303030303	0.0606060606061	0.212121212121	0.0	0.0
Qatar Living Lounge	0.339711664482	0.30878112713	0.110353866317	0.236435124509	0.00471821756225	0.0
Doha Shopping	0.579639889197	0.128808864266	0.0983379501385	0.192520775623	0.000692520775623	0.0
Qatari Culture	0.48275862069	0.051724137931	0.114942528736	0.344827586207	0.0	0.00574712643678
Working in Qatar	0.475949367089	0.184810126582	0.0784810126582	0.258227848101	0.00253164556962	0.0
Advice and Help	0.421832884097	0.167115902965	0.0956873315364	0.296495956873	0.0188679245283	0.0
Moving to Qatar	0.52277904328	0.126423690205	0.109339407745	0.23576309795	0.00569476082005	0.0
Politics	0.459183673469	0.285714285714	0.0765306122449	0.178571428571	0.0	0.0
Education	0.65625	0.0364583333333	0.166666666667	0.140625	0.0	0.0
